feature,gain,split
VWAP0,0.17572509869933128,2
STD20,0.17090600728988647,1
STD30,0.14454099535942078,1
obv,0.1265103965997696,2
CORD60,0.08771460130810738,3
volatility_20,0.08724760264158249,1
MIN20,0.0727555975317955,1
atr_14,0.07138749957084656,1
QTLD30,0.06871449947357178,1
BETA5,0.06473080068826675,1
RSQR30,0.051545899361371994,1
VSUMP20,0.048972900956869125,1
ROC5,0.04099290072917938,1
MAX60,0.038370899856090546,1
VMA60,0.03312550112605095,1
CORD20,0.029455900192260742,1
VSTD60,0.02943040058016777,1
MAX20,0.027834400534629822,1
VSUMP5,0.02234799973666668,1
KUP,0.0,0
KUP2,0.0,0
KLOW,0.0,0
KLOW2,0.0,0
KSFT,0.0,0
KSFT2,0.0,0
KLEN,0.0,0
KMID,0.0,0
IMAX60,0.0,0
IMIN5,0.0,0
IMIN10,0.0,0
IMIN20,0.0,0
IMIN30,0.0,0
IMIN60,0.0,0
IMXD5,0.0,0
IMXD10,0.0,0
IMXD20,0.0,0
IMXD30,0.0,0
IMXD60,0.0,0
CNTP5,0.0,0
CNTP10,0.0,0
CNTP20,0.0,0
OPEN0,0.0,0
KMID2,0.0,0
HIGH0,0.0,0
LOW0,0.0,0
RANK5,0.0,0
RANK10,0.0,0
RANK20,0.0,0
RANK30,0.0,0
RANK60,0.0,0
RSV5,0.0,0
RSV10,0.0,0
RSV20,0.0,0
RSV30,0.0,0
RSV60,0.0,0
IMAX5,0.0,0
IMAX10,0.0,0
IMAX20,0.0,0
IMAX30,0.0,0
SUMN5,0.0,0
SUMP60,0.0,0
SUMP30,0.0,0
SUMP20,0.0,0
SUMP10,0.0,0
SUMP5,0.0,0
CNTD60,0.0,0
CNTD30,0.0,0
CNTD20,0.0,0
CNTD10,0.0,0
CNTD5,0.0,0
CNTN60,0.0,0
CNTN30,0.0,0
CNTN20,0.0,0
CNTN10,0.0,0
CNTN5,0.0,0
CNTP60,0.0,0
CNTP30,0.0,0
VSUMN60,0.0,0
VSUMN20,0.0,0
VSUMD10,0.0,0
VSUMD20,0.0,0
VSUMD30,0.0,0
VSUMN30,0.0,0
VSUMN10,0.0,0
SUMD20,0.0,0
SUMD30,0.0,0
SUMN10,0.0,0
SUMD5,0.0,0
SUMD10,0.0,0
SUMN30,0.0,0
SUMN20,0.0,0
CORD10,0.0,0
CORD5,0.0,0
CORR60,0.0,0
CORR30,0.0,0
CORR10,0.0,0
CORR20,0.0,0
high_low_spread,0.0,0
CORD30,0.0,0
ROC20,0.0,0
ROC30,0.0,0
ROC60,0.0,0
MA5,0.0,0
open_close_spread,0.0,0
high_close_spread,0.0,0
low_close_spread,0.0,0
ROC10,0.0,0
MA60,0.0,0
MA30,0.0,0
MA20,0.0,0
MA10,0.0,0
STD5,0.0,0
STD60,0.0,0
BETA10,0.0,0
VSUMD5,0.0,0
VSUMD60,0.0,0
CORR5,0.0,0
SUMD60,0.0,0
VSUMP10,0.0,0
VSUMP30,0.0,0
VSUMP60,0.0,0
VSUMN5,0.0,0
SUMN60,0.0,0
RESI5,0.0,0
RSQR60,0.0,0
RSQR20,0.0,0
RSQR10,0.0,0
BETA60,0.0,0
RSQR5,0.0,0
BETA30,0.0,0
BETA20,0.0,0
STD10,0.0,0
MAX10,0.0,0
MIN5,0.0,0
MIN10,0.0,0
MAX30,0.0,0
MAX5,0.0,0
RESI60,0.0,0
RESI10,0.0,0
QTLU10,0.0,0
QTLU5,0.0,0
QTLU60,0.0,0
QTLU20,0.0,0
QTLD5,0.0,0
QTLD10,0.0,0
QTLD20,0.0,0
QTLU30,0.0,0
QTLD60,0.0,0
VMA5,0.0,0
VMA20,0.0,0
VMA10,0.0,0
MIN30,0.0,0
MIN60,0.0,0
RESI30,0.0,0
RESI20,0.0,0
VSTD20,0.0,0
VSTD10,0.0,0
VSTD5,0.0,0
VMA30,0.0,0
WVMA20,0.0,0
WVMA30,0.0,0
WVMA5,0.0,0
VSTD30,0.0,0
sma_5,0.0,0
sma_20,0.0,0
ema_26,0.0,0
ema_12,0.0,0
rsi,0.0,0
macd,0.0,0
WVMA60,0.0,0
WVMA10,0.0,0
volume_change,0.0,0
macd_signal,0.0,0
volume_ma_5,0.0,0
volume_ma_20,0.0,0
kdj_d,0.0,0
kdj_j,0.0,0
volume_ratio,0.0,0
kdj_k,0.0,0
boll_std,0.0,0
boll_mid,0.0,0
ema_60,0.0,0
volatility_10,0.0,0
return_1,0.0,0
return_5,0.0,0
return_10,0.0,0
industry_id,0.0,0
